benchmark_label,benchmark_flag,threshold,throughput_mib_s,write_us_op,elapsed_us
Random,fillrandom,4,1072.33,0.104054,52027.0
Random,fillrandom,8,854.887,0.13052,65260.0
Random,fillrandom,16,1082.23,0.103102,51551.0
Random,fillrandom,32,740.902,0.1506,75300.0
Random,fillrandom,64,981.008,0.11374,56870.0
Random,fillrandom,128,1051.95,0.10607,53035.0
Random,fillrandom,256,953.935,0.116968,58484.0
Random,fillrandom,512,948.663,0.117618,58809.0
Random,fillrandom,1024,969.4,0.115102,57551.0
Sequential,fillseq,4,870.209,0.128222,64111.0
Sequential,fillseq,8,1106.2,0.100868,50434.0
Sequential,fillseq,16,896.123,0.124514,62257.0
Sequential,fillseq,32,931.369,0.119802,59901.0
Sequential,fillseq,64,1127.12,0.098996,49498.0
Sequential,fillseq,128,845.853,0.131914,65957.0
Sequential,fillseq,256,1047.05,0.106566,53283.0
Sequential,fillseq,512,1129.72,0.098768,49384.0
Sequential,fillseq,1024,936.089,0.119198,59599.0
